特徵方法,訓練邊比例,AUC,AP,F1,Precision,Recall,Accuracy,Kappa,TP,FP,FN,TN
M0: Degree Stats,Sparse (20%),0.9110 ± 0.0019,0.9139 ± 0.0017,0.7914 ± 0.0014,0.6773 ± 0.0012,0.9519 ± 0.0016,0.7492 ± 0.0017,0.4983 ± 0.0034,112158.3,53440.3,5672.7,64390.7
M0: Degree Stats,Medium (50%),0.9356 ± 0.0011,0.9326 ± 0.0013,0.8031 ± 0.0026,0.6794 ± 0.0038,0.9817 ± 0.0006,0.7593 ± 0.0040,0.5185 ± 0.0080,66100.0,31188.3,1232.0,36143.7
M0: Degree Stats,Dense  (80%),0.9437 ± 0.0021,0.9399 ± 0.0020,0.8065 ± 0.0029,0.6814 ± 0.0043,0.9879 ± 0.0006,0.7630 ± 0.0045,0.5260 ± 0.0090,16628.7,7775.7,203.3,9056.3
M1: TF-IDF,Sparse (20%),0.9591 ± 0.0019,0.9571 ± 0.0026,0.8208 ± 0.0022,0.7033 ± 0.0027,0.9853 ± 0.0009,0.7848 ± 0.0030,0.5696 ± 0.0060,116097.3,48976.7,1733.7,68854.3
M1: TF-IDF,Medium (50%),0.9745 ± 0.0027,0.9696 ± 0.0035,0.8394 ± 0.0045,0.7266 ± 0.0062,0.9936 ± 0.0010,0.8099 ± 0.0061,0.6197 ± 0.0122,66903.3,25176.3,428.7,42155.7
M1: TF-IDF,Dense  (80%),0.9841 ± 0.0005,0.9799 ± 0.0017,0.8466 ± 0.0013,0.7360 ± 0.0021,0.9964 ± 0.0003,0.8195 ± 0.0019,0.6389 ± 0.0037,16772.0,6017.3,60.0,10814.7
llm_embed_lora+GNN,Sparse (20%),0.9312 ± 0.0074,0.9134 ± 0.0104,0.8176 ± 0.0051,0.7055 ± 0.0084,0.9723 ± 0.0088,0.7831 ± 0.0074,0.5662 ± 0.0149,114564.0,47846.3,3267.0,69984.7
llm_embed_lora+GNN,Medium (50%),0.9517 ± 0.0030,0.9372 ± 0.0021,0.8414 ± 0.0014,0.7310 ± 0.0022,0.9910 ± 0.0006,0.8132 ± 0.0020,0.6264 ± 0.0040,66725.3,24550.3,606.7,42781.7
llm_embed_lora+GNN,Dense  (80%),0.9356 ± 0.0054,0.9165 ± 0.0069,0.8413 ± 0.0014,0.7296 ± 0.0024,0.9935 ± 0.0006,0.8126 ± 0.0021,0.6253 ± 0.0041,16722.7,6198.3,109.3,10633.7
Degree+LoRA-LLM+GNN,Sparse (20%),0.9672 ± 0.0006,0.9693 ± 0.0009,0.8091 ± 0.0007,0.6871 ± 0.0006,0.9837 ± 0.0007,0.7679 ± 0.0008,0.5358 ± 0.0017,115910.7,52779.7,1920.3,65051.3
Degree+LoRA-LLM+GNN,Medium (50%),0.9868 ± 0.0002,0.9853 ± 0.0004,0.8297 ± 0.0014,0.7108 ± 0.0019,0.9964 ± 0.0002,0.7955 ± 0.0019,0.5910 ± 0.0039,67087.3,27294.7,244.7,40037.3
Degree+LoRA-LLM+GNN,Dense  (80%),0.9887 ± 0.0006,0.9868 ± 0.0006,0.8353 ± 0.0027,0.7184 ± 0.0040,0.9976 ± 0.0004,0.8032 ± 0.0038,0.6064 ± 0.0077,16791.3,6583.7,40.7,10248.3
